user_input,columns
slow requests,"request,resp_stale,url,req_restarts,vary,req_header_size,request_accept_encoding,request_has_range,resp_size,host,request_accept_content,request_accept_language,time_elapsed,req_digest,resp_header_size,resp_response,req_body_size,stale_exists,backend,resp_stale_is_error,resp_stale_is_revalidating,status,content_encoding,request_referer,protocol,request_accept_charset,log_resp_body_size,Path Group,server_datacenter,resp_body_size,cache_status,service_id,request_user_agent,geo_city,log_time_elapsed,content_type,User Agent without invocation hash,url_has_query_string,ruby_minor_version,is_tls,user_agent_name,vcl_version,client_ip_hash,bundler_minor_version,downloaded_gem_minor_version,rubygems_minor_version,is_ipv6,geo_country_code,downloaded_gem_name,downloaded_gem_version,$query,name,trace.parent_id,service_name"
total error events,"span.num_events,event_timestamp,error,duration_ms,derived.duration_ms_log,http.target,trace.trace_id,telemetry.instrumentation_library,http.response_length 🐝,http.url,derived.year_month_day,status_code,span.num_links,name,trace.span_id,host.environment 🐝,telemetry.sdk.language,host.process_id 🐝,type,meta.signal_type,sli.success,telemetry.sdk.version,http.content_length 🐝,telemetry.sdk.name,service.instance.id,service.name,http.route,http.host,host.machine_name 🐝,derived.cox.endpoint,http.method,http.request.action,span.kind,http.status_code,http.referer_uri 🐝,app.version 🐝,http.request.controller,library.version,http.request.moduleType,http.scheme,http.client_ip 🐝,http.flavor,http.request.companyId,library.name,http.response_type 🐝,http.user_agent,http.request.locationId,sli.latency.GetLocationConfiguration,http.request.providerId,trace.parent_id,parent_name,exception.message"
what are my errors?,"error,graphql.validation.error,exception.message,try,attempts,exception.type,caller,message,filepath,filenames,run_validations,identifier,username,gte_5000ms,keys,msg,referrer,options,gte_1000ms,exception.stacktrace,host,topic,gte_500ms,user,violated_directive,raw_report,path,name,cause_message,db.user,object_tokens,tokens,key,case_tokens,severity,template,line_number,filename,event_tokens,type,duration_ms,db.name,event_name,remote,object_name,count,cpu_architecture,service.name,http.method,task.id,parent_name,trace.parent_id,http.status_code,db.statement,http.route"
cluster_name = plan-sok-sato-project,"cluster_name,cluster,scenario_id,batch_run_action_parameter.only_clustered_tables,optimization_name,workspace_report_name,job_id,region,service.namespace,hostname,start_path,batch_run_name,panel_name,service.name,deployed,path,workflow_action_parameter.create_for_clusters,action_name,optimization_id,workspace_request_id,name,span.kind,workspace_report_id,pool_size,full_name,library.name,tracer.hostname,view_name,controller,in_scenario,column_dimension,column_offset,url,column_limit,action,service,search_start_date,batch_run_action_parameter.forecast,parent_name,service.version,Interesting phase,user_id,source,workspace_request_status,service.instance.id,revision,roles,env,action_id,configVersion,error,duration_ms,Duration (min),trace.trace_id,exception.message,version,CPU time sum from CPU time >= 1000,trace.parent_id,response.status_code,http.route,CPU time sum from CPU time > 100,javaVersion,workflow_action_parameter.target_column_query_definitions_json_visibility,Action category,cpuTimeFromThreadPool,cell_update_row_dimension,CPU time sum from CPU time < 100,cell_update_paths,instance,Duration (s),affected_tables,trace_name_id,cell_update_column_dimension,UTC date,Workflow span or Workspace action"
server,"service.name,host.name,ip,name,rpc.service,net.transport,host.arch,type,rpc.system,db.name,span.kind,message.type,library.name,rpc.method,library.version,thread.name,container.id,message.id,net.peer.port,process.pid,os.description,os.type,thread.id,process.command_line,net.peer.ip,status_code,db.statement,parent_name,duration_ms,process.runtime.name,process.runtime.version,k8s.node.name,process.runtime.description,req_flow.checkout,telemetry.sdk.language,telemetry.instrumentation_library,telemetry.sdk.name,rpc.grpc.status_code,k8s.namespace.name,span.num_links,process.executable.path,k8s.pod.ip,telemetry.sdk.version,trace.parent_id,trace.span_id,k8s.deployment.name,span.num_events,trace.trace_id,meta.annotation_type,telemetry.auto.version,http.route,error"
cluster_name = plan-sok-sato-project,"cluster_name,cluster,scenario_id,batch_run_action_parameter.only_clustered_tables,optimization_name,workspace_report_name,job_id,region,service.namespace,hostname,start_path,batch_run_name,panel_name,service.name,deployed,path,workflow_action_parameter.create_for_clusters,action_name,optimization_id,workspace_request_id,name,span.kind,workspace_report_id,pool_size,full_name,library.name,controller,in_scenario,column_dimension,column_offset,url,column_limit,action,service,search_start_date,batch_run_action_parameter.forecast,parent_name,service.version,Interesting phase,user_id,source,workspace_request_status,service.instance.id,revision,roles,env,action_id,configVersion,Action category,dashboard_request_id,trace.parent_id,CPU time sum from CPU time < 100,error,duration_ms,instance,cell_update_paths,Workflow span or Workspace action,affected_tables,http.route,Duration (min),trace_name_id,CPU time sum from CPU time > 100,cell_update_column_dimension,response.status_code,trace.trace_id,exception.message,cell_update_row_dimension,workflow_action_parameter.target_column_query_definitions_json_visibility,UTC date,version,Duration (s),CPU time sum from CPU time >= 1000,cpuTimeFromThreadPool"
name contains  funtikpub-processTask-30874598,"articleunpublished.data.id,name,service.name,telemetry.sdk.name,app.newDBTweet.UserScreenName,host.name,app.dbTweet.Tweet.PublishedAt,library.name,feedItemID,app.dbTweet.Tweet.UserScreenName,articleenriched.data.id,app.dbTweet.Tweet.ExternalID,app.buildMeta.Title,net.host.name,error,app.dbTweet.Tweet.ID,app.user.Name,service.version,app.user.Username,app.newDBTweet.UserName,newsItemID,event.data.id,app.buildMeta.PublishTime,was_tagged,app.dbTweet.Tweet.Text,span.kind,tweet_id,app.dbTweet.Tweet.UserName,app.user.Verified,app.newDBTweet.ExternalID,event.metadata.event_id,app.user.Protected,feedItem.ID,app.dbTweet.Tweet.UserImage,app.newDBTweet.PublishedAt,feedItem.ItemID,app.apiTweet.User.ScreenName,app.dbTweet.Tweet.UserURL,trace.trace_id,app.buildMeta.Teaser,http.flavor,app.apiTweet.User.Name,app.loadTweet.tweet,parent_name,notification.FeedItemStream.Id,app.newDBTweet.ID,honeycomb.distro.runtime_version,app.v2Tweet.Data.Id,app.dbTweet.Tweet.UserVerified,app.buildMeta.Media.Images,http.route,trace.parent_id,duration_ms,http.status_code,exception.message"
show respond time heatmap,"duration_ms,span.num_events,express.type,trace.trace_id,http.response_content_length_uncompressed,trace.span_id,http.status_text,status_code,http.status_code,http.route,process.pid,meta.signal_type,net.transport,span.kind,http.host,trace.parent_id,express.name,net.host.ip,net.host.port,http.target,telemetry.sdk.language,net.host.name,process.runtime.description,name,http.url,process.runtime.version,process.runtime.name,process.command,telemetry.sdk.name,http.flavor,process.command_line,span.num_links,type,telemetry.sdk.version,http.method,service.name,http.user_agent,net.peer.name,telemetry.instrumentation_library,net.peer.port,net.peer.ip,process.executable.name,http.scheme,library.version,library.name"
"this query, but only where the field ""message"" contains ""subscribed to topic `org_key_events:1`""","event.provider,message,query_time_microseconds,db.statement,liveview.event,exception.message,db.url,meta.annotation_type,db.name,span.num_events,http.method,parent_name,db.instance,meta.signal_type,db.type,log.level,trace.span_id,span.kind,telemetry.sdk.language,exception.stacktrace,http.target,source,phoenix.plug,trace.parent_id,name,net.transport,trace.trace_id,error,phoenix.action,http.scheme,process.runtime.name,service.namespace,service.instance.id,process.runtime.description,http.user_agent,service.name,queue_time_microseconds,liveview.uri,status_code,process.executable.name,http.route,exception.type,telemetry.sdk.name,host,http.status_code,library.name,type,liveview.callback,http.flavor,fly.region,duration_ms"
what are my errors?,"error,exception.message,http.error_message,sha_mismatch,http.error_name,existing_bytes,url,exception.type,message,exception.stacktrace,inventory,name,http.url,incoming_bytes,existing_ttl,existing_length,existing_document,namespace,type,duration_ms,existing_sha,service.name,http.method,result_length,prisma.args,status_code,incoming_sha,library.name,process.pid,net.transport,http.host,process.command_args,is_document,http.target,process.owner,library.version,status_message,length_difference,net.host.ip,net.host.name,parent_name,net.host.port,process.command,seo_cache_updated,span.kind,incoming_length,http.flavor,prisma.action,net.peer.name,store_id,http.route,http.status_code,trace.parent_id,db.statement"
latency distribution by status code,"status_code,duration_ms,tls.protocol,net.transport,process.pid,telemetry.sdk.language,meta.signal_type,peer.ipv4,library.version,tls.authorized,net.peer.port,tls.alpnProtocol,trace.trace_id,span.kind,net.host.port,trace.span_id,process.runtime.description,telemetry.instrumentation_library,tls.cipher.version,net.peer.ip,net.host.ip,process.runtime.version,service.name,honeycomb.distro.runtime_version,telemetry.sdk.version,net.peer.name,span.num_events,honeycomb.distro.version,process.command,type,tls.certificate.validTo,library.name,span.num_links,process.executable.path,trace.parent_id,telemetry.sdk.name,tls.certificate.serialNumber,name,process.executable.name,tls.certificate.validFrom,tls.certificate.fingerprint,process.owner,tls.cipher.name,process.runtime.name,process.command_args,http.route,service_name"
slow requests,"sli_route_latency_1500,duration_ms,queueSize,sli_route_latency,cachesize,requestID,discount,dropped,http.url,http.method,net.transport,error,orderid,http.target,rpc.method,http.route,http.request_content_length,ip,service.version,rpc.service,active_threads,success,currency,Context Keys,pending_pool,pool,name,message.type,area,http.host,host.name,thread.id,grpc.kind,service.name,runtime.jvm.memory.pool,host.arch,rpc.user_agent,rpc.system,runtime.jvm.gc.time,method,http.scheme,type,http.flavor,span.kind,itemCount,db.name,context_keys,thread.name,library.version,gc,exception.message,parent_name,http.status_code,db.statement,service_name,trace.parent_id"
slow requests,"duration_ms,slo-scenario,ts_ms,http.url,http.method,net.transport,thread,query.handler,error,http.target,sli_p9999,peer.service,http.route,db.thread,http.response_content_length,ip,lead_dur_ms,client.name,lead_time_ms,exception,root-start,db.operation,sli_p99,db.row,sli_p90,db.instance,db.table,query.name,name,uri,http.uri,status,host.name,thread.id,db.type,service.name,cluster,db.snapshot,host.arch,db.system,db.user,component.name,method,http.scheme,db.file,type,release,SearchValue,span.kind,command.handler,db.statement,service_name,trace.parent_id,http.status_code"
show me average response time ,"duration_ms,http.response_content_length_uncompressed,name,net.transport,db.system,status_code,http.url,http.host,http.status_code,db.user,http.method,http.target,service.name,db.operation,db.name,net.host.name,span.num_events,type,http.user_agent,trace.trace_id,net.host.port,http.request_content_length_uncompressed,net.host.ip,process.pid,peer.ipv4,db.statement,net.peer.name,http.status_text,http.flavor,telemetry.sdk.language,trace.span_id,span.num_links,tls.protocol,process.command,net.peer.port,span.kind,process.owner,meta.signal_type,telemetry.instrumentation_library,library.name,process.runtime.version,process.runtime.description,library.version,db.connection_string,db.sql.table,telemetry.sdk.version,process.runtime.name,telemetry.sdk.name,http.scheme,net.peer.ip,trace.parent_id,http.route,service_name"
what are my errors?,"error,exception.message,exception.type,message.type,os.type,exception.stacktrace,host.name,name,http.url,db.user,host.arch,gropyus.realm,message.id,code.namespace,gropyus.maintained-by,type,duration_ms,db.name,http.route,service.name,http.method,os.description,db.system,status_code,db.operation,library.name,gropyus.application,service.namespace,process.pid,gropyus.stage,rpc.system,az.namespace,process.command_args,thread.id,http.target,thread.name,db.statement,library.version,net.host.name,container.id,parent_name,code.function,net.host.port,service.version,rpc.method,db.connection_string,span.kind,gropyus.service,az.client_request_id,net.peer.name,trace.parent_id,http.status_code"
slow requests,"sp.feature_flags.GOV_CIS_LOG_SLOW_QUERY_MILLIS,duration_ms,ears-latency-fast,sp.notification.medium,sp.feature_flags.ARSENAL_SPLIT_WPS_DELAYED_REQUESTS,http.response_content_length_uncompressed,sre.refinery.late,http.url,http.method,net.transport,user-agent,error,http.target,aer.sli.stg.fastauditevents,request_id,peer.service,rpc.method,http.route,sp.feature_flags.GOV_IDNARSENAL_17425_TRAMS_RETRY_LOAD_CACHE,http.response_content_length,http.request_content_length,ip,region,ears-latency-prod,extension,service.version,sre.scrum,rpc.service,consumer,host.ip,sp.conn.timeout_ms,sp.conn.invoke_timeout_ms,sp.conn.results,remote.host,upgrade,sre.test.httplen,service.namespace,aer.sli.prod.fastauditevents,db.operation,sp.messaging.priority,sp.org,host.id,sp.feature_flags.PLTIN_CACHE_CLIENT_PER_REQUEST,sp.feature_flags.GOV_FINISH_REFRESH_NO_LOCK,host.type,sp.conn.max_results,meta.stressed,sp.feature_flags.GOV_ACCOUNT_AGGREGATION_WAIT_HOURS,sp.request_id,tls.protocol,trace.parent_id,http.status_code,name,exception.message,parent_name,db.statement,service_name"
slow requests,"duration_ms,http.response_content_length_uncompressed,http.url,http.method,net.transport,express.type,http.target,http.route,name,express.name,http.host,service.name,http.scheme,type,http.flavor,span.kind,library.version,status_code,net.host.port,process.command,net.host.ip,library.name,net.peer.port,http.status_code,http.user_agent,net.host.name,process.command_line,process.pid,span.num_links,net.peer.name,trace.trace_id,http.status_text,trace.span_id,process.runtime.version,net.peer.ip,meta.signal_type,span.num_events,process.runtime.description,telemetry.instrumentation_library,telemetry.sdk.language,process.runtime.name,trace.parent_id,process.executable.name,telemetry.sdk.version,telemetry.sdk.name"
anything with herdsman,"error,events,name,exists,click.partner,shop_id,command.data.partner,start-click-fetcher,command.click.partner,command.data.provider,command.id,click.provider,task_metadata.Family,command_type,service_name,invoiceEvents,click.type,task_metadata.TaskARN,filter.click.partner,raw_message,command.data.productId,cmd_json,reject_reason,command.click.productId,command.data.dateTime,filter.click.provider,retryCount,command.data.priceMill,sqs_queue,filter.click.productId,error_msg,click.priceMill,command.data.shopId,task_metadata.KnownStatus,command.click.provider,click.productId,category_branches_fallback_day,command.click.shopId,task_metadata.Cluster,applicable_fees,filter.click.shopId,task_metadata.Containers,base_event.partition,task_metadata.AvailabilityZone,container_metadata.LogDriver,click.dateTime,task_metadata.Revision,container_metadata.Image,event_metadata.event_type,best_matching_fee.Applies,trace.parent_id,http.route,duration_ms"
show me memory use,"exception.stacktrace,duration_ms,trace.trace_id,name,bifrost.client.request.size_bytes,library.name,meta.stressed,auditlogwriter.app,trace.span_id,error,container.name,hudl.bifrost.slow_response,message.type,rpc.system,cloud.zone,library.version,message.id,automation.perf_marker,hudl.is_hotchocolate,net.peer.name,trace.parent_id,service.name,http.host,graphql.http.request.query.hash,controller.name,span.num_events,hudl_hotchocolate_rate,cloud.account.id,cloud.provider,parent_name,graphql.errors.count,http.user_agent,hudl.request.id,auth_user,auditlogwriter.op,rpc.method,service.version,container.id,service.namespace,backdoor_user,exception.message,graphql.http.request.query.id,cloud.region,container.image.name,SubscriptionConnectionId,request.host,telemetry.instrumentation_library,status_message,span.kind,rpc.service,hudl.is_error,http.status_code,http.route,db.statement"
p99 of app.creation_ms of requests that start in service named taxi-driver-public-customer,"app.order.created_ms,app.customer_id,app.order.canceled_ms,service_name,customer_id,service.name,app.request_id,app.egocheck.session_id,service.instance.id,Customer not approved,duration_ms,app.report_consumer.diff,app.report_consumer.check_trades_recorded,app.report_consumer.order_total_size_traded,app.response,app.report_consumer.order_status,app.report_consumer.report_cumulative_quantity,app.event,app.order.id,app.exception_stacktrace,app.order_id,app.report_consumer.report_order_status,app.function_version,meta.cold_start,app.report_consumer.report_last_quantity,custom_id,order_id,trace.trace_id,app.groups,app.order.market_code,telemetry.sdk.language,session_id,telemetry.sdk.version,status_code,telemetry.sdk.name,Finished requests. Total events processed,request.user_agent,request.method,celery.queue,app.function_name,request.path,request.query,request.url,response.status_code,webhook response,execution_report,price,celery.task_id,app.exception_type,app.exception_string,error,trace.parent_id,name,request.route,db.query,http.route"
show graphs of the service.workerpool.* attributes over time.,"service.worker_pool.workers.running,service.worker_pool.tasks.waiting,service.worker_pool.tasks.completed,service.worker_pool.workers.idle,service.worker_pool.tasks.submitted,service.worker_pool.tasks.successful,service.worker_pool.tasks.failed,service.name,system.memory.usage_mb,duration_ms,trace.trace_id,client.port,server.port,span.kind,trace.span_id,span.num_events,server.address,span.num_links,client.address,url.query,enduser.project.name,trace.parent_id,url.scheme,url.path,exception.type,telemetry.sdk.language,telemetry.sdk.version,status_message,name,http.response.body,http.route,telemetry.sdk.name,parent_name,error,enduser.project.id,type,library.name,exception.message,http.response.body.size,user_agent.original,http.request.headers,enduser.user.email,meta.annotation_type,status_code,http.response.status_code,enduser.user.id,http.response.headers,enduser.organization.name,http.forwarded_to,meta.signal_type,db.statement"
slow requests,"sli_route_latency_1500,duration_ms,queueSize,sli_route_latency,cachesize,requestID,discount,dropped,http.url,http.method,net.transport,error,orderid,http.target,rpc.method,http.route,http.request_content_length,ip,service.version,rpc.service,active_threads,success,currency,Context Keys,pending_pool,pool,name,message.type,area,http.host,host.name,thread.id,grpc.kind,service.name,runtime.jvm.memory.pool,host.arch,rpc.user_agent,rpc.system,runtime.jvm.gc.time,method,http.scheme,type,http.flavor,span.kind,itemCount,db.name,context_keys,thread.name,library.version,gc,http.status_code,db.statement,trace.parent_id,service_name,exception.message,parent_name"
Request response time heatmap,"duration_ms,sli_route_latency_1500,requestID,sli_route_latency,runtime.jvm.gc.time,Context Keys,http.url,queueSize,Context Keys length,http.status_code,net.transport,http.request_content_length,http.host,http.route,http.method,rpc.user_agent,ip,http.user_agent,status_code,area,rpc.method,http.target,trace.trace_id,message.type,status_message,runtime.jvm.memory.pool,http.flavor,context_keys,orderid,process.pid,trace.span_id,chargeTotal,itemCount,service.version,rpc.service,span.num_events,host.name,active_threads,cachesize,net.host.ip,pool,thread.id,service.name,os.type,cart_total,method,process.runtime.description,thread.name,telemetry.sdk.name,runtime.jvm.memory.area,error,exception.message,parent_name,trace.parent_id,name,db.statement,service_name"
what are my errors?,"error,error_messages,error_categories,failure_operation,uri,host.environment ✨,is_success,name,http.url,host.machine_name ✨,reference_id,type,duration_ms,transaction_id,service.name,peer.service,http.method,table_notes,status_code,customer_identifier,request_body,library.name,http.host,host.process_id ✨,app.version ✨,user_count,employee_id,library.version,status_message,company_id,client_user_id,activity_id,span.kind,eti_transaction_id,derived.year_month_day,event_timestamp,cache_hit,service.instance.id,vendor_sku,http.status_code,telemetry.sdk.language,trace.parent_id,span.num_events,location_entity_id,trace.trace_id,transaction_date_time,telemetry.instrumentation_library,catalog_item_count,derived.duration_ms_log,trace.span_id,http.route"
slow requests,"duration_ms,resolutions,http.url,http.method,error,request_type,http.target,at,calling,request_id,rpc.method,response_code,params,queue_name,rpc.service,http.server_error,controller,resource,path,action,attempt_count,http_method,active_people,name,http.status_success,status,subscriptions_cancelled,http.host,remote_id,messages_sent,service.name,rpc.system,http.scheme,type,monthly_calls_deflected,cancelled_customer,release,span.kind,app_stage,worker_args,active_teammates,transaction_type,params.command,exception.stacktrace,failure_code,library.version,already_frozen,status_code,country,prices_count,trace.parent_id,exception.message,is_root,exception.type,parent_name,controller_action,http.status_code"
what are my errors?,"url,query_name,userId,name,request.xhr,request.query,key,meta.type,duration_ms,request.method,request.secure,request.fresh,service_name,meta.instrumentations,request.original_url,request.host,response.status_code,request.path,request.param.id,request.scheme,request.route,response.content_length,request.base_url,trace.parent_id,meta.local_hostname,request.header.user_agent,request.header.content_type,trace.trace_id_source,request.http_version,trace.trace_id,request.header.accept,response.content_type,trace.span_id,response.http_version,meta.beeline_version,request.header.x_forwarded_for,request.header.x_forwarded_port,meta.package_version,request.param.contactId,meta.node_version,meta.instrumentation_count,request.param.ownerId,request.param.worksheetId,request.header.x_forwarded_proto,request.param.buildingId,request.param.flipperId,request.param.propertyManagerId,request.remote_addr,http.route"
show me a HEATMAP of duration in seconds,"duration_ms,dc.log10_duration_ms,Duration MS groupable,app.braintree.response.transaction.statusHistory.0.timestamp,app.braintree.response.transaction.statusHistory.2.timestamp,exception.stacktrace,dc.testct,dc.sli_place_order_latencyerrors,app.braintree.response.transaction.statusHistory.1.timestamp,dc.success_rate_no_errors,span.num_events,name,span.kind,app.braintree.response.transaction.authorizationExpiresAt,app.request.deviceData,http.target,http.url,app.response.data.cart.lineItems.0.variant.images.2.dimensions.h,app.response.data.cart.lineItems.0.variant.images.3.dimensions.h,http.flavor,app.response.data.cart.lineItems.0.variant.images.0.dimensions.h,app.response.data.cart.lineItems.0.variant.images.1.dimensions.h,app.response.data.cart.lineItems.0.variant.images.6.dimensions.h,app.braintree.response.transaction.statusHistory.0.amount,app.braintree.response.transaction.updatedAt,faas.id,app.braintree.response.transaction.statusHistory.2.amount,error,trace.span_id,app.braintree.request.deviceData,dc.is_homepage,dc.braintree_fast_and_successful,app.braintree.response.transaction.statusHistory.0.transactionSource,app.response.data.cart.lineItems.0.variant.images.7.dimensions.h,dc.success_rate_third_party_calls,net.transport,app.braintree.response.transaction.statusHistory.1.amount,dc.success_rate_status_code,app.braintree.response.transaction.statusHistory.2.transactionSource,app.braintree.response.transaction.paypal.imageUrl,app.response.data.cart.key,app.request.billingAddress.custom.fields.latestArrivalOn,type,app.response.data.cart.lastModifiedAt,trace.trace_id,app.braintree.response.params.transaction.lineItems.0.totalAmount,dc.check_trace_parent,app.braintree.request.lineItems.0.totalAmount,app.braintree.response.transaction.statusHistory.1.transactionSource,app.braintree.response.params.transaction.lineItems.2.totalAmount,trace.parent_id,service.name,exception.message,parent_name,http.status_code,http.route"
